V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	LocationLatitude	LocationLongitude	LocationAccuracy	
ResponseID	ResponseSet	Name	ExternalDataReference	EmailAddress	IPAddress	Status	StartDate	EndDate	Finished	Researchers from The University of Auckland are conducting a short survey on demographics and dec...	In which country do you currently live?	In which country were you born?	 What is your first language?	Which best describes you?	Are you male or female?	What year were you born?	What is the highest level of school you have completed or the highest degree you have received?	"Read the passage then answer the question below: Subject: Tomorrow's meeting From: ""Andrew Gilber..."	Who is the email sent to?	"Read the passage then answer the question below: Subject: Tomorrow's meeting From: ""Andrew Gilber..."	Which department is holding the meeting prior to the conference call?	Please paste your Mechanical Turk Worker ID in the box below (find you Worker ID here: www.mturk....	 Below is your completion code. Please copy this and paste into the box below it; also paste it i...	LocationLatitude	LocationLongitude	LocationAccuracy	
R_2To7mmj0n9gtQBA	Default Response Set	Anonymous			76.238.196.45	0	19/09/15 17:07	19/09/15 17:10	1	1	185	185	46	3	2	67	5	1	2	1	6	A20YCH1UOFGQZB	N9TT9G0AB7FQRANC	42.20610046	-83.62280273	-1	1
R_xgdWm3PHlzVDDEZ	Default Response Set	Anonymous			66.112.236.2	0	19/09/15 17:14	19/09/15 17:16	1	1	185	66	13	2	3	77	3	1	2	1	6	A28NNO56HW1N3B	N9TT9G0AB7FQRANC	30.2960968	-97.73690033	-1	1
R_2l6IpTnrbKnofAt	Default Response Set	Anonymous			198.7.214.163	0	19/09/15 17:29	19/09/15 17:32	1	1	126	10	13	1	2	53	6	1	2	1	2	AXN64KJPQ6EVC	N9TT9G0AB7FQRANC	41.60139465	-93.68289948	-1	
R_1hXf6nyp7ofAaji	Default Response Set	Anonymous			76.102.53.156	0	19/09/15 17:47	19/09/15 17:50	1	1	185	185	13	1	2	45	6	1	2	1	6	ALF14D78OROQY	N9TT9G0AB7FQRANC	37.35009766	-121.9853973	-1	1
